headline,rating,text,would_recommend
Expensive equipment with not much of value,4,"Just ok. I got the top of the line model in October 2025 with 96GB RAM, and RTX5090 GPU. With this much of supposed power my experience of this system is just ok. It takes about 25 seconds to start from cold start. Also it’s just ok with other post production activities on 20MB picture files to be worked in Lightroom. I am not impressed after spending thousands and thousands on it.",No
The rgbs and back lights stands out from the rest,5,Its an awesome beasr of laptop battlefield 6 is picture perfect,Yes
FAST AND POWERFUL,5,"Excellent laptop, I recommend it 100%, it's a jet, fast and powerful, very happy with my purchase",Yes
Great laptop even better performance. Small issue.,5,"Great laptop and even better performance. Upgraded from the G634JY with a 4090 and this is a huge upgrade compared to it. My only complaint is that it is not eligible for elite rewards for some odd reason, the other devices in the series are (G835LR- 5070ti and G835LW- 5080). Seems like an odd choice so hopefully it's a mistake",Yes
Has issues,3,Blue screen crashes. This is the second one I bought in the last month. Both having BSOD crashes. This laptop had BCOD ome min into the setup. I am hoping all the updates fixed it.,No
Best Gaming Laptop 2025+,5,"Super smooth screen, expanded color gamut up to 1.07 billion colors ( Ordinary laptops gamut is sRGB 16.7 millions only colors ). The processor Ultra 9 275HX works super great multitasking games as MMO games, as well professional video.",Yes
Power House,5,Handles AAA gaming with a breeze. No issues running the latest release of BL4 while other PCs struggle.,Yes
"Excellent product, recommended",5,"Amazing product, very stable, high definition screen, and powerful performance, definitely a mounster for AAA games",Yes
Perfect for the AI Era: My New Favorite Machine,5,"The ASUS ROG G835LX-XS97 is a fantastic machine. I needed a larger screen and more power, as I'm now using AI prompts and expect to do so even more often in the future. I had a powerful machine that was only a year old, but it wasn't like this. I've just started using it and am still setting it up for my needs, but so far, I must give it a 10 out of 10.",Yes
Screechingly fast!,5,"Yet another solid build from exotic PC. Even with the long lead times for the ASUS laptop, seeing as it was relatively new, the communication and the response when I inquired was on point, friendly, and very helpful. Great job all!",Yes
G835lx,5,"Excellent laptop, second one ive purchased and have not been disappointed yet.",Yes
Best Gaming Laptop I’ve Owned,5,"An absolute beast. This laptop is balanced so well that I want for nothing with it. It doesn’t get too hot or too loud, the screen is gorgeous, the keyboard feels good, and the performance is outstanding. If you want a top tier gaming laptop, definitely check it out.",Yes
